x1,x2
1.0,1.0
1.0022073549240396,1.0047581861647912
1.0044186773019563,1.0095833331217479
1.0066340143551713,1.014476214842714
1.0088534106562796,1.0194376161983916
1.0110769080212996,1.0244683330872917
1.01330454539835,1.0295691725651397
1.0155363587526525,1.034740952974659
1.0177723809477532,1.0399845040756597
1.020012641622858,1.0453006671753506
1.0222571670661682,1.0506902952587864
1.0245059800841076,1.0561542531193586
1.026759099866328,1.061693417489233
1.0290165418463733,1.0673086771696287
1.0312783175578863,1.0730009331608308
1.033544434486241,1.0787710987918164
1.0358148959154716,1.0846200998493747
1.0380897007703818,1.090548874706588
1.040368843453704,1.0965583744505354
1.0426523136781827,1.102649563009077
1.0449400962934536,1.1088234172765583
1.047232171107588,1.1150809272382791
1.0495285127031702,1.1214230960935505
1.0518290902477756,1.1278509403771628
1.0541338672987177,1.134365490079073
1.0564428016019247,1.1409677887621097
1.0587558448848164,1.14765889367749
1.0610729426430412,1.154439875877921
1.0633940339209398,1.161311820328057
1.0657190510855996,1.168275826012066
1.0680479195943646,1.175333006038051
1.0703805577556658,1.1824844877390521
1.0727168764830395,1.1897314127703529
1.0750567790422016,1.197074937202788
1.0774001607910473,1.2045162316117468
1.0797469089124476,1.212056481161544
1.0820969021397202,1.2196968856848174
1.0844500104746504,1.2274386597565978
1.0868060948979448,1.2352830327626745
1.0891650070720047,1.2432312489618689
1.0915265890359112,1.2512845675418074
1.0938906728925162,1.2594442626677678
1.0962570804875476,1.2677116235241537
1.0986256230806353,1.2760879543481334
1.1009961010081792,1.2845745744549575
1.103368303337987,1.293172818254453
1.1057420075156175,1.3018840352581638
1.1081169790023806,1.310709590076591
1.1104929709049536,1.3196508624059644
1.1128697235965859,1.3287092470039459
1.1152469643298828,1.3378861536536515
1.1176244068411696,1.347183007115347
1.120001750946458,1.3566012470651516
1.1223786821290522,1.3661423280200544
1.1247548711188557,1.3758077192485263
1.1271299734634554,1.38559890466598
1.129503629091091,1.3955173827143064
1.1318754618656335,1.405564666224684
1.1342450791337322,1.415742282262833
1.1366120712643095,1.4260517719558576
1.138976011180623,1.4364946902997862
1.1413364538851394,1.4470726059468944
1.143692935977503,1.4577871009718653
1.1460449751659236,1.4686397706158092
1.1483920697723382,1.479632223007137
1.1507336982317544,1.4907660788582513
1.1530693185862222,1.5020429711369863
1.1553983679739308,1.513464544711702
1.1577202621139773,1.525032455968906
1.1600343947874097,1.5367483724022426
1.1623401373152007,1.5486139721716716
1.164636838033872,1.5606309436316137
